method,query_id,question_type,primary_category,primary_mclsf,gold_document_count,gold_chunk_count,retrieved_count,latency_ms,chunk_hit@1,chunk_hit@3,chunk_hit@5,chunk_hit@10,chunk_recall@5,chunk_recall@10,chunk_mrr,document_hit@1,document_hit@3,document_hit@5,document_hit@10,document_mrr
BM25,oy_eval_repair_q0007,specific_policy_search,일자리,창업,1,5,10,4.2195999994874,1.0,1.0,1.0,1.0,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0009,eligibility,일자리,취업,1,6,10,3.937400004360825,0.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.5,0.0,1.0,1.0,1.0,0.5
BM25,oy_eval_repair_q0012,application_period,일자리,취업,1,6,10,3.6175999557599425,0.0,0.0,1.0,1.0,0.16666666666666666,0.3333333333333333,0.2,0.0,0.0,1.0,1.0,0.2
BM25,oy_eval_repair_q0021,application_method,일자리,창업,1,4,10,4.073799995239824,1.0,1.0,1.0,1.0,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0024,specific_policy_search,일자리,취업,1,5,10,5.248499976005405,0.0,0.0,1.0,1.0,0.2,0.2,0.25,0.0,0.0,1.0,1.0,0.25
BM25,oy_eval_repair_q0027,application_method,일자리,창업,1,6,10,6.1234000022523105,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0030,support_content,일자리,취업,1,4,10,4.568300035316497,1.0,1.0,1.0,1.0,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0032,application_method,일자리,취업,1,5,10,2.674899995326996,1.0,1.0,1.0,1.0,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0033,application_period,일자리,창업,1,6,10,3.0132000101730227,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0034,specific_policy_search,일자리,취업,1,4,10,2.974000002723187,1.0,1.0,1.0,1.0,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0
