question_id,question,answer,expected_doc_id,rank,score,retrieved_doc_id,chunk_id,answer_in_chunk,retrieved_text
c1_57059-1,서울과 충북 괴산에서 '국제청소년포럼'을 여는 곳은?,한국청소년단체협의회와 여성가족부,doc_0001,1,0.882089,doc_0001,doc_0001_chunk_000,O,"한국청소년단체협의회와 여성가족부는 22일부터 28일까지 서울과 충북 괴산에서 '국제청소년포럼'을 연다고 21일 밝혔다. 한국 미국 캐나다 호주 등 전 세계 32개국 75여명의 대학생, 청소년들이 모여 전 세계적 현안문제에 대한 대안과 해결책을 모색하는 자리다. 이번 포럼의 주제는 '청소년과 뉴미디어'다. 스마트폰 SNS 태블릿PC 등 새로운 커뮤니케이션 매체인 '뉴미디어'에 대한 성찰과 문제점에 대해 토론한다. 기조강연을 시작으로 국가별 주제관련 사례발표, 그룹 토론 및 전체총회, '청소년선언문' 작성 및 채택 등 다양한 프로그램을 운영한다. 개회식은 22일 서울 방화동에 있는 국제청소년센터 국제회의장에서 한다. 전 세계 32개국 대학생ㆍ청소년 참가자와 전국의 청소년기관단체장과 청소년지도자 여성가족부 주한외교사절 등 100여명이 참석할 예정이다. 23일에는 유엔미래포럼 박영숙 대표가 '뉴미디어의 균형 있는 발전을 위한 청소년의 역할'에 대해 기조강연을 한다. 뉴미디어의 올바른 활용방안과 청소년문화의 형성에 대해 설명할 계획이다. 27일 폐회식에서는 '청소년선언문'을 채택한다. 선언문에는 전 세계적으로 뉴미디어의 바람직한 발전을 촉구하며 각국 청년들이 함께 실천할 수 있는 내용 등이 담길 예정이다. 한국청소년단체협의회는 포럼이 끝난 뒤 UN 등 국제기구와 참가자 각국 정부 등 국제사회에 선언문을 전달할 예정이다."
c1_57059-1,서울과 충북 괴산에서 '국제청소년포럼'을 여는 곳은?,한국청소년단체협의회와 여성가족부,doc_0001,2,0.827981,doc_0149,doc_0149_chunk_000,X,"경북 영덕과 전북 김제에 특성화된 청소련수련시설이 들어선다. 여성가족부는 18일 국립영덕청소년해양환경체험센터와 국립김제농업생명청소년수련원 착공식을 가졌다고 밝혔다. 영덕청소년해양환경체험센터는 영덕군 영덕읍 창포리 일원 5만여㎡ 부지에 들어선다. 여성가족부는 내년 말까지 326억원을 투입해 해양자원탐사 조선·항해 해양환경연구 등 다양한 과정을 체험할 수 있도록 할 계획이다. 김제농업생명청소년수련원은 김제시 부량면 용성리에 역시 내년 말까지 건립 예정이다. 253억원을 투입, 3만8000여㎡ 부지에 농업생명공학 농업과학 농업생태환경 등 체험시설을 짓게 된다. 두 특성화 시설은 푸른청소년수련시설이 임대형 민자사업으로 건립한다. 민간투자자가 건립, 20~30년간 시설관리 청소 경비 등을 맡고 여성가족부는 매년 임대료를 지급하는 형태다. 두개 시설이 완공되면 국립청소년수련시설은 모두 5개로 늘어난다. 여성가족부는 현재 강원 평창과 충남 천안, 전남 고흥에 평창청소년수련원 중앙청소년수련원 고흥청소년우주체험센터를 운영 중이다. 백희영 장관은 ""두곳 특성화 수련시설을 통해 청소년들이 해양환경과 농업생명의 소중함을 인식하고 미래 해양자원 개발과 농업기술에 대한 전망을 제시할 수 있을 것""이라고 기대했다."
c1_57059-1,서울과 충북 괴산에서 '국제청소년포럼'을 여는 곳은?,한국청소년단체협의회와 여성가족부,doc_0001,3,0.813704,doc_0168,doc_0168_chunk_000,X,"“태권도 기술·정신 함께 담아낼 터” “우리 프로젝트의 근본은 태권도 정신이다. 요새처럼 컴퓨터 게임의 버튼 하나로 적을 죽일 수 있는 시대에 태권도 정신의 의미는 크다고 생각한다. 정정당당히 겨뤄 승부를 내는 것을 말한다. 이런 게임문화에 익숙한 서유럽쪽에 한국의 태권도 정신을 느끼게 하는 작품을 만들겠다.” 경기도 문화의전당이 기획·제작해 오는 5월 말 서울에서 첫선을 보이는 태권도 소재 넌버벌 퍼포먼스 〈달밤의 기사〉(가제)의 연출을 맡은 키르키스탄 출신의 세계적인 연출가 빅토르 크라메르(43)가 28일 기자회견에서 “태권도의 화려한 기술적인 면 뿐만 아니라 태권도 고유의 정신적인 면을 잘 조화시키겠다”고 밝혔다. 빅토르 크라메르는 〈슬라바 프로닌의 스노우쇼〉와 〈판타지아-바람을 기다리는 여섯 사람〉 등의 작품으로 영국 ‘로렌스 올리비에 기념 최고연극상’, 에딘버러 페스티벌의 ‘에딘버러 프린지 퍼스트’, 러시아 민족상 ‘황금마스크’ 연출상 등을 수상하고 세계의 이름난 페스티벌과 연극제에 초청된 세계적인 연출가이다. 그는 “태권도는 동양적인 것에 매우 관심이 많은 유럽인들도 흥미를 가질 수 있는 소재”라면서 “서양과 동양의 양문화의 매개체가 될 수 있는 공연을 만들 수 있을 것 같다는 확신이 들었다”고 말했다. 그는 태권도를 이해하기 위해 지난해 12월부터 두 차례 한국을 방문하면서 한국의 구석구석을 보아왔고 많은 태권도 관련 테"
c1_57060-1,'국제 청소년포럼'이 열리는 때는?,22일부터 28일,doc_0001,1,0.885137,doc_0001,doc_0001_chunk_000,O,"한국청소년단체협의회와 여성가족부는 22일부터 28일까지 서울과 충북 괴산에서 '국제청소년포럼'을 연다고 21일 밝혔다. 한국 미국 캐나다 호주 등 전 세계 32개국 75여명의 대학생, 청소년들이 모여 전 세계적 현안문제에 대한 대안과 해결책을 모색하는 자리다. 이번 포럼의 주제는 '청소년과 뉴미디어'다. 스마트폰 SNS 태블릿PC 등 새로운 커뮤니케이션 매체인 '뉴미디어'에 대한 성찰과 문제점에 대해 토론한다. 기조강연을 시작으로 국가별 주제관련 사례발표, 그룹 토론 및 전체총회, '청소년선언문' 작성 및 채택 등 다양한 프로그램을 운영한다. 개회식은 22일 서울 방화동에 있는 국제청소년센터 국제회의장에서 한다. 전 세계 32개국 대학생ㆍ청소년 참가자와 전국의 청소년기관단체장과 청소년지도자 여성가족부 주한외교사절 등 100여명이 참석할 예정이다. 23일에는 유엔미래포럼 박영숙 대표가 '뉴미디어의 균형 있는 발전을 위한 청소년의 역할'에 대해 기조강연을 한다. 뉴미디어의 올바른 활용방안과 청소년문화의 형성에 대해 설명할 계획이다. 27일 폐회식에서는 '청소년선언문'을 채택한다. 선언문에는 전 세계적으로 뉴미디어의 바람직한 발전을 촉구하며 각국 청년들이 함께 실천할 수 있는 내용 등이 담길 예정이다. 한국청소년단체협의회는 포럼이 끝난 뒤 UN 등 국제기구와 참가자 각국 정부 등 국제사회에 선언문을 전달할 예정이다."
c1_57060-1,'국제 청소년포럼'이 열리는 때는?,22일부터 28일,doc_0001,2,0.81986,doc_0059,doc_0059_chunk_000,X,"[IMG1] 평단 왕양, 남영택 옮김 1만9000원 #케네디 대통령의 아버지인조지프 케네디는 1929년 월스트리트가 붕괴하기 직전에자신의 주식을 모두 팔아치워 위기를 피해갔다.그가 그렇게 할 수 있었던 것은 구두닦이 소년 덕분이었다. 구두닦이 소년은 ""우리도 주식에 투자하면 백만장자가 될 수 있을 거예요""라며 구두를 닦으러 온 조지프에게 흥분해서 떠들었다.경제를 잘 아는 권위자들도 마치 살얼음 위를 걷는 것처럼 투자하고, 그렇게 투자해도 손해를 보지 않고 수익을 거둘지 장담할 수 없는 주식시장. 그 시장에서 구두닦이 소년조차 주식을 안전하고 떼돈을 버는 투자처라고 생각한다면 시장은 이미 과열 단계에 접어들었고 이때야말로 주식 시장을 떠날 시기라고 그는 판단했던 것이다.'환율전쟁'이라는 책을 쓰기도 했던 이 책의 저자 왕양은 독자들에게 묻는다. ""경제 용어를 아는 것만으로 경제 흐름을 읽을 수 있을까."" 이 책에서는 '천하어면'이라는 경제게임의 주인공 겐로쿠를 등장시켜1만 관의 자본을 가지고 어떻게 해야 사업에 성공하고 투자에 성공하는지 독자가 겐로쿠가 되어 그 과정을 터득하는 스토리텔링의 방법을 통해경제를 이야기 하고 있다. 그 과정에서 우리는 각종 경제용어를 배우고 많은 실례를 통해 경제의 흐름을 자연스럽게 익힐 수 있다. 이를 통해 경제를 예측하는 안목을 기를 수 있다는 덤이 이 책의 가장 큰 특징이다 장점이다. 저자 나름의 경제"
c1_57060-1,'국제 청소년포럼'이 열리는 때는?,22일부터 28일,doc_0001,3,0.818916,doc_0121,doc_0121_chunk_001,X,"리고 있어요. 우파도 자기들만의 방식으로 변화를 추구하고 있잖아요."" 이야, 정말 똑똑한 딸들이다. 드디어 아빠가 ""일반적인 대답으로 너희를 만족시킬 수 없을 것 같구나""라며 식은땀을 흘리기 시작했다. 이런 식으로 좌충우돌, 아빠는 설명하고 딸들은 질문하고 반격하면서 1시간 동안 독자들도 좀 더 깊이 좌파 이야기로 들어갈 수 있다. 책의 마지막 즈음에 딸이 하는 질문이 재미있다. ""선생님이 그러시는데 좌파와 우파 개념은 이게 과거의 것이래요. 별 차이가 없다고요."" 마치 우리나라에서도 좌파와 우파를 잘 구분하지 못하거나, 아니면 좌파와 우파를 뛰어넘자고 주장하는 흐름이 프랑스에서도 있나 보다. 이에 대한 아빠의 대답이 이 책의 결론쯤에 해당할 것 같다. 중간중간 질문이 이어진 터라 여러 개로 나뉘어 있던 아빠 베베르의 대답을 요약하면 이런 것이다. ""사회는 많이 변했단다. 좌파와 우파는 한번 정의되면 변하지 않는 고정된 실재가 아니라 변화하는 실재로, 세상이 변함에 따라 스스로 위치를 조절한단다."""
c1_57061-1,이번 포럼의 주제는?,'청소년과 뉴미디어',doc_0001,1,0.854234,doc_0001,doc_0001_chunk_000,O,"한국청소년단체협의회와 여성가족부는 22일부터 28일까지 서울과 충북 괴산에서 '국제청소년포럼'을 연다고 21일 밝혔다. 한국 미국 캐나다 호주 등 전 세계 32개국 75여명의 대학생, 청소년들이 모여 전 세계적 현안문제에 대한 대안과 해결책을 모색하는 자리다. 이번 포럼의 주제는 '청소년과 뉴미디어'다. 스마트폰 SNS 태블릿PC 등 새로운 커뮤니케이션 매체인 '뉴미디어'에 대한 성찰과 문제점에 대해 토론한다. 기조강연을 시작으로 국가별 주제관련 사례발표, 그룹 토론 및 전체총회, '청소년선언문' 작성 및 채택 등 다양한 프로그램을 운영한다. 개회식은 22일 서울 방화동에 있는 국제청소년센터 국제회의장에서 한다. 전 세계 32개국 대학생ㆍ청소년 참가자와 전국의 청소년기관단체장과 청소년지도자 여성가족부 주한외교사절 등 100여명이 참석할 예정이다. 23일에는 유엔미래포럼 박영숙 대표가 '뉴미디어의 균형 있는 발전을 위한 청소년의 역할'에 대해 기조강연을 한다. 뉴미디어의 올바른 활용방안과 청소년문화의 형성에 대해 설명할 계획이다. 27일 폐회식에서는 '청소년선언문'을 채택한다. 선언문에는 전 세계적으로 뉴미디어의 바람직한 발전을 촉구하며 각국 청년들이 함께 실천할 수 있는 내용 등이 담길 예정이다. 한국청소년단체협의회는 포럼이 끝난 뒤 UN 등 국제기구와 참가자 각국 정부 등 국제사회에 선언문을 전달할 예정이다."
c1_57061-1,이번 포럼의 주제는?,'청소년과 뉴미디어',doc_0001,2,0.830403,doc_0141,doc_0141_chunk_000,X,"""가상 화폐 규제에 반대하는 청와대 국민청원이, 20만 명을 넘어서면서 정부의 공식 답변을 받을 수 있게 됐습니다. 김동연 경제부총리는 어떤 형태로든 합리적 규제가 필요하다며 이른 시일 안에 종합 대책을 발표하겠다고 말했습니다. 송수진 기자의 보도입니다. [리포트] 가상 화폐 규제에 반대하는 청와대 국민청원이 등록 20일 만에 20만 명을 돌파했습니다. 정부가 공식적인 입장을 내놓는 한달 내 20만명 참여 조건을 충족한 겁니다. 청원자들은 타당하지 않은 규제로 경제가 쇠퇴해선 안 된다며 거래소 폐지 반대 입장 등을 올렸습니다. 청와대는 6번째 청원인 전기용품 안전관리법 폐지 청원에 답변하고 가상화폐 규제 반대 청원에도 답할 예정입니다. 가상화폐 관련해 말을 아끼던 문재인 대통령도 대책을 둘러싼 최근 정부 부처 간 혼선 양상을 지적했습니다. 부처간 협의 전에 각 부처의 입장이 먼저 공개돼 엇박자로 비치는 것은 바람직하지 않다는 겁니다.[박수현/청와대 대변인 : 보다 긴밀한 부처 간 협조와 정책결정 과정의 면밀한 관리를 당부하였습니다.] 정부는 가상화폐에 대한 규제 입장을 분명히 했습니다. 김동연 경제부총리는 라디오 프로그램에 출연해 어떤 형태로든 합리적 규제가 필요하다며 거래소 폐쇄도 살아있는 옵션이라고 말했습니다. [김동연/경제부총리/tbs 김어준의 뉴스공장) : 살아있는 옵션이긴 합니다만 해외 입출금 문제 등등 반론도 만만치가 않거"
c1_57061-1,이번 포럼의 주제는?,'청소년과 뉴미디어',doc_0001,3,0.828686,doc_0196,doc_0196_chunk_000,X,"오는 10월 개원하는 ‘경희 후마니타스 암병원’ 준비단장에 정상설 경희의료원 유방외과 교수가 임명됐다. 정 교수는 10월 병원 오픈과 동시에 암 병원장에 취임한다. 2일 경희의료원에 따르면 정 단장은 유방암 분야의 명의로 대한외과학회 이사장, 한국 유방암학회‧대한임상종양학회 초대 이사장, 세계유방암학술대회 대회장, 분당차병원 유방갑상선 암센터장 등 다양한 대내외 활동을 수행했다. 지금까지 약 2000건 이상의 유방암 수술을 집도했고 국내 최초로 암 조직만 절제하는 유방보존술 도입했다. 또 국내 최초로 유방암 환우회를 설립 및 운영, 한국유방암학회에서 활동 당시 핑크리본캠페인을 만드는데 앞장서는 등 암 환자의 삶의 질을 높이고 치유의 희망을 제공하고자 노력해왔다. 정 단장은 “후마니타스 암병원의 미션이 ‘암을 넘어선 삶(Life Beyond Cancer)’이듯 평소에 중요하게 생각해오던 가치 중 하나가 ‘암 수술 후 삶을 풍요롭게’”라며 “평소 품어 온 뜻을 실천하는데 최적의 병원이라고 생각되어 결정했고 암환자를 위한 마지막 봉사라고 생각하는 이번 역할에 온 마음을 다할 것”고 말했다. 암으로 무너진 환자의 인간다움의 회복을 최우선 가치로 삼는 경희 후마니타스 암병원의 건립 공정은 현재 마무리 단계에 접어들었다. 현재 외부 공사는 완료됐고 내부 마감 공사가 진행 중이다. 민태원 기자 twmin@kmib.co.kr"
c1_57062-1,포럼은 어떻게 진행되는가?,"기조강연을 시작으로 국가별 주제관련 사례발표, 그룹 토론 및 전체총회, '청소년선언문' 작성 및 채택 등 다양한 프로그램을 운영한다.",doc_0001,1,0.841564,doc_0001,doc_0001_chunk_000,O,"한국청소년단체협의회와 여성가족부는 22일부터 28일까지 서울과 충북 괴산에서 '국제청소년포럼'을 연다고 21일 밝혔다. 한국 미국 캐나다 호주 등 전 세계 32개국 75여명의 대학생, 청소년들이 모여 전 세계적 현안문제에 대한 대안과 해결책을 모색하는 자리다. 이번 포럼의 주제는 '청소년과 뉴미디어'다. 스마트폰 SNS 태블릿PC 등 새로운 커뮤니케이션 매체인 '뉴미디어'에 대한 성찰과 문제점에 대해 토론한다. 기조강연을 시작으로 국가별 주제관련 사례발표, 그룹 토론 및 전체총회, '청소년선언문' 작성 및 채택 등 다양한 프로그램을 운영한다. 개회식은 22일 서울 방화동에 있는 국제청소년센터 국제회의장에서 한다. 전 세계 32개국 대학생ㆍ청소년 참가자와 전국의 청소년기관단체장과 청소년지도자 여성가족부 주한외교사절 등 100여명이 참석할 예정이다. 23일에는 유엔미래포럼 박영숙 대표가 '뉴미디어의 균형 있는 발전을 위한 청소년의 역할'에 대해 기조강연을 한다. 뉴미디어의 올바른 활용방안과 청소년문화의 형성에 대해 설명할 계획이다. 27일 폐회식에서는 '청소년선언문'을 채택한다. 선언문에는 전 세계적으로 뉴미디어의 바람직한 발전을 촉구하며 각국 청년들이 함께 실천할 수 있는 내용 등이 담길 예정이다. 한국청소년단체협의회는 포럼이 끝난 뒤 UN 등 국제기구와 참가자 각국 정부 등 국제사회에 선언문을 전달할 예정이다."
