method,query_id,question_type,primary_category,primary_mclsf,gold_document_count,gold_chunk_count,retrieved_count,latency_ms,chunk_hit@1,chunk_hit@3,chunk_hit@5,chunk_hit@10,chunk_recall@5,chunk_recall@10,chunk_mrr,document_hit@1,document_hit@3,document_hit@5,document_hit@10,document_mrr
BM25,oy_eval_repair_q0007,specific_policy_search,일자리,창업,1,15,10,10.395399993285537,1.0,1.0,1.0,1.0,0.06666666666666667,0.06666666666666667,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0009,eligibility,일자리,취업,1,14,10,5.949400016106665,1.0,1.0,1.0,1.0,0.2857142857142857,0.6428571428571429,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0012,application_period,일자리,취업,1,12,10,3.444499976467341,0.0,1.0,1.0,1.0,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.0,1.0,1.0,1.0,0.3333333333333333
BM25,oy_eval_repair_q0021,application_method,일자리,창업,1,16,10,5.727200012188405,1.0,1.0,1.0,1.0,0.3125,0.625,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0024,specific_policy_search,일자리,취업,1,14,10,8.421000035014004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BM25,oy_eval_repair_q0027,application_method,일자리,창업,1,16,10,9.361500036902726,1.0,1.0,1.0,1.0,0.125,0.3125,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0030,support_content,일자리,취업,1,14,10,6.365099980030209,1.0,1.0,1.0,1.0,0.07142857142857142,0.07142857142857142,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0032,application_method,일자리,취업,1,16,10,4.030200012493879,1.0,1.0,1.0,1.0,0.1875,0.4375,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0033,application_period,일자리,창업,1,15,10,5.19160000840202,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0034,specific_policy_search,일자리,취업,1,15,10,6.046700000297278,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
