query_id,question_type,top1_document_hit,top5_document_hit,selected_document_hit,answer_char_length,evidence_count,latency_ms
oy_eval_repair_q0007,specific_policy_search,0.0,0.0,0.0,201,3,137.85890000872314
oy_eval_repair_q0009,eligibility,1.0,1.0,1.0,159,3,76.23770000645891
oy_eval_repair_q0012,application_period,1.0,1.0,1.0,131,3,73.3839999884367
oy_eval_repair_q0021,application_method,1.0,1.0,1.0,151,3,74.3275000131689
oy_eval_repair_q0024,specific_policy_search,0.0,0.0,0.0,265,3,71.18389999959618
oy_eval_repair_q0027,application_method,1.0,1.0,1.0,386,3,71.70019997283816
oy_eval_repair_q0030,support_content,1.0,1.0,1.0,375,3,73.71560001047328
oy_eval_repair_q0032,application_method,1.0,1.0,1.0,117,3,72.31930003035814
oy_eval_repair_q0033,application_period,1.0,1.0,1.0,182,3,69.25599998794496
oy_eval_repair_q0034,specific_policy_search,1.0,1.0,1.0,123,3,71.05470000533387
oy_eval_repair_q0035,support_content,1.0,1.0,1.0,203,3,78.59889999963343
oy_eval_repair_q0037,support_content,1.0,1.0,1.0,297,3,72.89549999404699
oy_eval_repair_q0038,eligibility,1.0,1.0,1.0,249,3,75.72379999328405
oy_eval_repair_q0039,application_method,1.0,1.0,1.0,225,3,72.95110000995919
oy_eval_repair_q0042,specific_policy_search,1.0,1.0,1.0,153,3,71.03519997326657
oy_eval_repair_q0043,support_content,1.0,1.0,1.0,176,3,74.42779996199533
oy_eval_repair_q0045,required_documents,1.0,1.0,1.0,96,3,77.30110001284629
oy_eval_repair_q0047,specific_policy_search,1.0,1.0,1.0,163,3,75.75469999574125
oy_eval_repair_q0054,application_method,0.0,0.0,0.0,698,3,88.26519997091964
oy_eval_repair_q0056,specific_policy_search,1.0,1.0,1.0,136,3,77.47829996515065
oy_eval_repair_q0066,eligibility,1.0,1.0,1.0,133,3,81.76319999620318
oy_eval_repair_q0072,support_content,1.0,1.0,1.0,324,3,66.28720002481714
oy_eval_repair_q0073,eligibility,1.0,1.0,1.0,232,3,69.6489000110887
oy_eval_repair_q0074,application_method,1.0,1.0,1.0,200,3,72.14449997991323
oy_eval_repair_q0075,application_period,0.0,1.0,0.0,119,3,75.56299999123439
oy_eval_repair_q0076,required_documents,1.0,1.0,1.0,139,3,76.0943999630399
oy_eval_repair_q0077,specific_policy_search,1.0,1.0,1.0,321,3,72.0259000081569
oy_eval_repair_q0080,application_method,1.0,1.0,1.0,180,3,69.2776000360027
oy_eval_repair_q0082,required_documents,1.0,1.0,1.0,218,3,83.0456999829039
oy_eval_repair_q0085,application_method,1.0,1.0,1.0,203,3,71.59939996199682
oy_eval_repair_q0089,application_period,1.0,1.0,1.0,254,3,78.99869995890185
oy_eval_repair_q0099,application_period,1.0,1.0,1.0,364,3,75.37330000195652
oy_eval_repair_q0100,required_documents,1.0,1.0,1.0,143,3,72.81069998862222
oy_eval_v2r_q0002,support_content,0.0,1.0,0.0,110,2,78.0073999776505
oy_eval_v2r_q0003,eligibility,0.0,0.0,0.0,403,3,73.76519998069853
oy_eval_v2r_q0004,application_method,0.0,0.0,0.0,313,3,69.99630003701895
oy_eval_v2r_q0005,required_documents,0.0,1.0,0.0,169,3,72.94380001258105
oy_eval_v2r_q0015,eligibility,1.0,1.0,1.0,448,3,74.08430002396926
oy_eval_v2r_q0017,application_period,0.0,0.0,0.0,62,2,76.54119998915121
oy_eval_v2r_q0025,support_content,0.0,1.0,0.0,187,3,97.78609999921173
oy_eval_v2r_q0026,eligibility,0.0,0.0,0.0,403,3,80.05540003068745
oy_eval_v2r_q0064,specific_policy_search,1.0,1.0,1.0,121,2,75.03700000233948
oy_eval_v2r_q0078,support_content,1.0,1.0,1.0,501,3,79.0990999666974
oy_eval_v2r_q0086,specific_policy_search,0.0,0.0,0.0,155,3,75.42960002319887
oy_eval_v2r_q0090,required_documents,0.0,0.0,0.0,185,3,73.38740001432598
oy_eval_v2r_q0094,application_period,1.0,1.0,1.0,504,3,66.98340002913028
oy_eval_v2r_q0098,application_method,1.0,1.0,1.0,403,3,81.43820002442226
