query_id,question_type,top1_document_hit,top5_document_hit,selected_document_hit,answer_char_length,evidence_count,latency_ms
oy_eval_repair_q0007,specific_policy_search,1.0,1.0,1.0,446,3,110.26109999511391
oy_eval_repair_q0009,eligibility,0.0,1.0,0.0,408,3,79.58489999873564
oy_eval_repair_q0012,application_period,0.0,1.0,0.0,362,3,68.11759999254718
oy_eval_repair_q0021,application_method,1.0,1.0,1.0,399,3,76.71019999543205
oy_eval_repair_q0024,specific_policy_search,0.0,0.0,0.0,408,3,60.161400004290044
oy_eval_repair_q0027,application_method,1.0,1.0,1.0,525,3,60.328799998387694
oy_eval_repair_q0030,support_content,1.0,1.0,1.0,375,3,69.38349996926263
oy_eval_repair_q0032,application_method,0.0,1.0,0.0,599,3,73.1925000436604
oy_eval_repair_q0033,application_period,1.0,1.0,1.0,296,3,71.64919999195263
oy_eval_repair_q0034,specific_policy_search,0.0,1.0,0.0,477,3,74.5448999805376
oy_eval_repair_q0035,support_content,1.0,1.0,1.0,276,3,90.86769999703392
oy_eval_repair_q0037,support_content,1.0,1.0,1.0,419,3,71.84960000449792
oy_eval_repair_q0038,eligibility,1.0,1.0,1.0,229,3,73.53360002161935
oy_eval_repair_q0039,application_method,1.0,1.0,1.0,324,3,79.5083999983035
oy_eval_repair_q0042,specific_policy_search,1.0,1.0,1.0,424,3,77.65789999393746
oy_eval_repair_q0043,support_content,1.0,1.0,1.0,431,3,72.4900999921374
oy_eval_repair_q0045,required_documents,1.0,1.0,1.0,180,3,73.64990003407001
oy_eval_repair_q0047,specific_policy_search,1.0,1.0,1.0,228,3,72.40620005177334
oy_eval_repair_q0054,application_method,1.0,1.0,1.0,231,3,67.7801999845542
oy_eval_repair_q0056,specific_policy_search,0.0,0.0,0.0,423,3,67.59739998960868
oy_eval_repair_q0066,eligibility,0.0,0.0,0.0,428,3,75.96709998324513
oy_eval_repair_q0072,support_content,0.0,1.0,0.0,609,3,68.16169997910038
oy_eval_repair_q0073,eligibility,1.0,1.0,1.0,469,3,67.46189994737506
oy_eval_repair_q0074,application_method,1.0,1.0,1.0,329,3,66.23439997201785
oy_eval_repair_q0075,application_period,1.0,1.0,1.0,168,3,71.37510000029579
oy_eval_repair_q0076,required_documents,0.0,1.0,0.0,609,3,73.12920002732426
oy_eval_repair_q0077,specific_policy_search,1.0,1.0,1.0,281,3,67.53359996946529
oy_eval_repair_q0080,application_method,1.0,1.0,1.0,231,3,75.8724000188522
oy_eval_repair_q0082,required_documents,1.0,1.0,1.0,487,3,69.58640000084415
oy_eval_repair_q0085,application_method,1.0,1.0,1.0,307,3,67.63500004308298
oy_eval_repair_q0089,application_period,1.0,1.0,1.0,254,3,66.69729994609952
oy_eval_repair_q0099,application_period,1.0,1.0,1.0,364,3,87.3456000117585
oy_eval_repair_q0100,required_documents,1.0,1.0,1.0,180,3,70.46869996702299
oy_eval_v2r_q0002,support_content,0.0,1.0,0.0,398,3,77.82300002872944
oy_eval_v2r_q0003,eligibility,1.0,1.0,1.0,400,3,68.0733000044711
oy_eval_v2r_q0004,application_method,0.0,1.0,0.0,734,3,74.01350000873208
oy_eval_v2r_q0005,required_documents,1.0,1.0,1.0,265,3,66.54470000648871
oy_eval_v2r_q0015,eligibility,1.0,1.0,1.0,371,3,68.45630001043901
oy_eval_v2r_q0017,application_period,1.0,1.0,1.0,376,3,68.0300000240095
oy_eval_v2r_q0025,support_content,1.0,1.0,1.0,256,3,81.77810005145147
oy_eval_v2r_q0026,eligibility,0.0,1.0,0.0,340,3,70.08530001621693
oy_eval_v2r_q0064,specific_policy_search,1.0,1.0,1.0,498,3,73.99120001355186
oy_eval_v2r_q0078,support_content,0.0,1.0,0.0,328,3,95.98769998410717
oy_eval_v2r_q0086,specific_policy_search,0.0,0.0,0.0,328,3,71.72499998705462
oy_eval_v2r_q0090,required_documents,0.0,0.0,0.0,254,3,73.15439998637885
oy_eval_v2r_q0094,application_period,1.0,1.0,1.0,460,3,66.84179999865592
oy_eval_v2r_q0098,application_method,0.0,1.0,0.0,432,3,66.20400003157556
