method,query_id,question_type,primary_category,primary_mclsf,gold_document_count,gold_chunk_count,retrieved_count,latency_ms,chunk_hit@1,chunk_hit@3,chunk_hit@5,chunk_hit@10,chunk_recall@5,chunk_recall@10,chunk_mrr,document_hit@1,document_hit@3,document_hit@5,document_hit@10,document_mrr
BM25,oy_eval_repair_q0007,specific_policy_search,일자리,창업,1,3,10,2.272400015499443,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0009,eligibility,일자리,취업,1,4,10,2.1431000204756856,1.0,1.0,1.0,1.0,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0012,application_period,일자리,취업,1,3,10,1.3039999757893384,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.14285714285714285,0.0,0.0,0.0,1.0,0.14285714285714285
BM25,oy_eval_repair_q0021,application_method,일자리,창업,1,3,10,2.006599970627576,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0024,specific_policy_search,일자리,취업,1,3,10,3.125599992927164,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.2,0.0,0.0,1.0,1.0,0.2
BM25,oy_eval_repair_q0027,application_method,일자리,창업,1,3,10,2.1782999974675477,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0030,support_content,일자리,취업,1,2,10,2.2213999764062464,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0032,application_method,일자리,취업,1,3,10,2.0236000418663025,0.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.0,1.0,1.0,1.0,0.5
BM25,oy_eval_repair_q0033,application_period,일자리,창업,1,4,10,3.492299991194159,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0034,specific_policy_search,일자리,취업,1,2,10,1.7428999999538064,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0035,support_content,일자리,창업,1,2,10,2.3521000402979553,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0037,support_content,복지문화,문화활동,2,9,10,1.8640000489540398,1.0,1.0,1.0,1.0,0.4444444444444444,0.5555555555555556,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0038,eligibility,복지문화,건강,2,8,10,1.1166000040248036,1.0,1.0,1.0,1.0,0.5,0.625,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0039,application_method,복지문화,예술인지원,1,2,10,1.8130000098608434,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0042,specific_policy_search,복지문화,건강,1,2,10,1.2867999612353742,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0043,support_content,복지문화,예술인지원,1,3,10,1.2553000124171376,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0045,required_documents,복지문화,문화활동,1,2,10,0.9594999719411135,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0047,specific_policy_search,복지문화,예술인지원,1,1,10,1.5879999846220016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0054,application_method,복지문화,건강,1,1,10,2.2042999626137316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0056,specific_policy_search,주거,주택 및 거주지,1,2,10,3.7959000328555703,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0066,eligibility,주거,전월세 및 주거급여 지원,1,2,10,2.112099959049374,0.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.0,1.0,1.0,1.0,0.3333333333333333
BM25,oy_eval_repair_q0072,support_content,교육,교육비지원,1,3,10,0.970900000538677,0.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,1.0,1.0,1.0,0.3333333333333333
BM25,oy_eval_repair_q0073,eligibility,교육,온라인교육,1,6,10,1.5758000081405044,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0074,application_method,교육,미래역량강화,1,2,10,1.1073999921791255,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0075,application_period,교육,온라인교육,1,3,10,1.5196999884210527,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0076,required_documents,교육,미래역량강화,1,3,10,1.306299993302673,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0077,specific_policy_search,교육,교육비지원,1,3,10,1.209300011396408,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0080,application_method,교육,교육비지원,2,6,10,1.4254000270739198,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0082,required_documents,교육,미래역량강화,1,5,10,0.8626999915577471,1.0,1.0,1.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0085,application_method,교육,미래역량강화,1,3,10,0.9243999957107008,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0089,application_period,참여권리,권익보호,1,1,10,1.4706000220030546,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0099,application_period,참여권리,정책인프라구축,1,2,10,3.564000013284385,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0100,required_documents,참여권리,청년국제교류,1,2,10,0.872399949003011,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_v2r_q0002,support_content,일자리,창업,1,2,10,2.4494000244885683,0.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.0,1.0,1.0,1.0,0.3333333333333333
BM25,oy_eval_v2r_q0003,eligibility,일자리,재직자,1,3,10,1.7980999546125531,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_v2r_q0004,application_method,일자리,창업,1,3,10,2.5344000314362347,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.125,0.0,0.0,0.0,1.0,0.125
BM25,oy_eval_v2r_q0005,required_documents,일자리,재직자,1,2,10,2.6581999845802784,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_v2r_q0015,eligibility,일자리,창업,1,3,10,3.028900013305247,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.14285714285714285,0.0,0.0,0.0,1.0,0.14285714285714285
BM25,oy_eval_v2r_q0017,application_period,일자리,창업,1,2,10,3.4437000285834074,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_v2r_q0025,support_content,일자리,창업,1,2,10,2.7490999782457948,0.0,0.0,0.0,1.0,0.0,0.5,0.14285714285714285,0.0,0.0,0.0,1.0,0.14285714285714285
BM25,oy_eval_v2r_q0026,eligibility,일자리,취업,1,2,10,2.1215000306256115,0.0,0.0,0.0,1.0,0.0,0.5,0.125,0.0,0.0,0.0,1.0,0.125
BM25,oy_eval_v2r_q0064,specific_policy_search,주거,기숙사,1,2,10,2.1584000205621123,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_v2r_q0078,support_content,교육,온라인교육,1,3,10,2.420599979814142,0.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.0,1.0,1.0,1.0,0.5
